factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
8,5,0.1,1.0,0.75,10,8120,1880,2979,4980,1052.1516608506483,0.0031914893617021275,0.0015843188569242756,3.3506109714508057
8,5,0.1,2.0,0.0,10,8120,1880,2979,4980,1215.7844712573428,0.005319148936170213,0.0019171623884856979,3.3540101051330566
8,5,0.1,2.0,0.25,10,8120,1880,2979,4980,1235.2072033402362,0.0047872340425531915,0.0017030289419333914,3.3685078620910645
8,5,0.1,2.0,0.5,10,8120,1880,2979,4980,1255.414288655091,0.005319148936170213,0.002170270343306583,3.3597309589385986
8,5,0.1,2.0,0.75,10,8120,1880,2979,4980,1275.3122441622402,0.005319148936170213,0.002150184242937291,3.3461551666259766
12,3,0.1,0.5,0.0,10,8120,1880,2979,4980,1131.9064493570634,0.0031914893617021275,0.0016268749314512193,3.5390541553497314
12,3,0.1,0.5,0.25,10,8120,1880,2979,4980,1134.2215621191222,0.0031914893617021275,0.0014228828423287247,3.5679521560668945
12,3,0.1,0.5,0.5,10,8120,1880,2979,4980,1135.7427844508063,0.0026595744680851063,0.0012221257554458106,3.568911075592041
12,3,0.1,0.5,0.75,10,8120,1880,2979,4980,1135.9593921131789,0.0026595744680851063,0.001152436580279288,3.5298879146575928
12,3,0.1,1.0,0.0,10,8120,1880,2979,4980,1175.7950951754046,0.003723404255319149,0.0017508513360475096,3.5498900413513184
12,3,0.1,1.0,0.25,10,8120,1880,2979,4980,1183.0351885856353,0.0031914893617021275,0.0014518915795072142,3.5267748832702637
12,3,0.1,1.0,0.5,10,8120,1880,2979,4980,1189.8334437814178,0.0031914893617021275,0.0013663791436214932,3.5545599460601807
12,3,0.1,1.0,0.75,10,8120,1880,2979,4980,1195.7418313238475,0.0026595744680851063,0.0010920153308420259,3.5455737113952637
12,3,0.1,2.0,0.0,10,8120,1880,2979,4980,1285.2678104032825,0.005851063829787234,0.002504341232038727,3.5475189685821533
12,3,0.1,2.0,0.25,10,8120,1880,2979,4980,1302.6744925474775,0.005851063829787234,0.002336063164613112,3.540409803390503
12,3,0.1,2.0,0.5,10,8120,1880,2979,4980,1320.7914235774513,0.0047872340425531915,0.00177207292488383,3.5365750789642334
12,3,0.1,2.0,0.75,10,8120,1880,2979,4980,1339.0158652950115,0.002127659574468085,0.000813799861448925,3.533578872680664
12,5,0.1,0.5,0.0,10,8120,1880,2979,4980,904.2554763468925,0.003723404255319149,0.0018905702197580074,5.898922920227051
12,5,0.1,0.5,0.25,10,8120,1880,2979,4980,907.4413961803848,0.003723404255319149,0.001670277268866088,5.919631004333496
12,5,0.1,0.5,0.5,10,8120,1880,2979,4980,910.8065181889283,0.003723404255319149,0.00150473508422404,5.921386957168579
12,5,0.1,0.5,0.75,10,8120,1880,2979,4980,914.2055116915519,0.003723404255319149,0.0013938948894555011,5.87098503112793
12,5,0.1,1.0,0.0,10,8120,1880,2979,4980,961.6302442113118,0.005319148936170213,0.0026374839964540217,6.137231111526489
12,5,0.1,1.0,0.25,10,8120,1880,2979,4980,967.9105809075321,0.005319148936170213,0.002424869173818351,5.977064847946167
12,5,0.1,1.0,0.5,10,8120,1880,2979,4980,974.619783478013,0.005319148936170213,0.002151927567346038,5.901488304138184
12,5,0.1,1.0,0.75,10,8120,1880,2979,4980,981.4899222757512,0.005319148936170213,0.002028930037128937,5.91895604133606
12,5,0.1,2.0,0.0,10,8120,1880,2979,4980,1083.8173826342895,0.005851063829787234,0.0027480863052745537,5.939541816711426
12,5,0.1,2.0,0.25,10,8120,1880,2979,4980,1096.673287184289,0.006382978723404255,0.0027510284490119916,5.930729866027832
